,title,split_title
11,老师您好！保洁公司给我们开的保洁费发票我们入管理费用哪个明细下较合适,老师 您好 保洁 公司 开 保洁 费 发票 入 管理费用 明细 下较 合适
12,开票单价大于开票限额，这样怎么开票,开票 单价 大于 开票 限额 开票
13,驾校的教练车二手车评估费入什么科目？,驾校 教练车 二手车 评估费 入 科目
14,我想问一下，我是在代理公司做外账的。现在有一家15年的企业要注销。因为换过挺多个会计接手的，之前的会计一直有帮这个企业做租金！！问题出现在这个企业是挂靠在我们公司的，。上一年的账我是不是最好不要动？还有我应该要怎么帮这个企业调账？,想 问 代理 公司 做 外账 一家 15 年 企业 注销 换过 挺 多个 会计 接手 会计 帮 企业 做 租金 企业 挂靠 公司 上一年 账 动 帮 企业 调账
15,老师好，别人在税局大厅给我们开的增值税专用发票的抵扣联丟了，怎么办，这张发票还能用吗，谢谢！,老师 税局 大厅 开 增值税 专用发票 抵扣 联 丟了 这张 发票 谢谢
16,我公司现在有一张进项票是失控发票，现在进项税已经交了。那账的分录该怎么做,公司 一张 进项 票 失控 发票 进项 税 交了 那账 分录 做
17,物业公司开票开：水电公摊的，水电费不算我们的收入，要把水电公摊的计入其他应付款吗？是水电公摊的是价税合计一并计入其他应付款，还是要把税款分出来计入应缴税费-应交增值税,物业公司 开票 开 水电 公摊 水电费 不算 收入 水电 公摊 计入 应付款 水电 公摊 价税 合计 一并 计入 应付款 税款 分 计入 应 缴税 费 应交 增值税
18,老师，做会展咨询的小规模公司一年开票金额达到多少会成为一般纳税人,老师 做 会展 咨询 小规模 公司 一年 开票 金额 纳税人
19,房产取得是2016年5月前取得的，租金采用简易征收的话，分录是：借：应收帐款，贷：主营业务收入，贷：应交税金－简易征收？,房产 2016 年 月 前 租金 采用 简易 征收 分录 应收 帐款 贷 主营业务 收入 贷 应交 税金 简易 征收
20,"老师，所得税汇算清缴的税费在补交所得税后,这个税费在6月30日进行财务报表填制的时候应该填在哪里？",老师 所得税 汇算 清缴 税费 补交 所得税 税费 月 30 日 财务报表 填制 填
21,9月认证的发票，做到10月的账里，请问这样合规吗,月 认证 发票 10 月 账里 请问 合规
22,出口产品需要到工商办理哪些手续,出口 产品 工商 办理 手续
23,我们是建筑公司，收到工程款后写的是借：银行存款贷：预收账款，给对方公司开票后应该怎样上账呢,建筑 公司 收到 工程款 后写 银行存款 贷 预收 账款 公司 开票 上账
24,你好老师，小规模纳税人增值税申报一个季度的报表是哪个月份的，比如第三季度的，按哪个月的报表呢，是9月份的还是怎样,你好 老师 小规模 纳税人 增值税 申报 季度 报表 月份 第三季度 月 报表 月份
25,老师负债清偿损益明细表里无法清偿的20000元其他应付款怎么填,老师 负债 清偿 损益 明细表 里 清偿 20000 元 应付款 填
26,个人租汽车给公司，除了国税缴纳增值税、地税印花税等，个人租入的收入要不要交个人所得税啊？,个人 租 汽车 公司 国税 缴纳 增值税 地税 印花税 个人 租入 收入 交 个人所得税
27,你好，我开一张技术服务费的发票专票出去，分录怎么做呢,你好 我开 一张 技术 服务费 发票 专票 分录 做
28,老师：每月末做结转期间损益，到年末12月时，是不是要把本年利润余额结转到利润分配/末分配利润？借：利润分配/未分配利润贷：本年利润,老师 每月 末 做 结转 期间 损益 年末 12 月 时 本年 利润 余额 结转 利润分配 末 分配利润 利润分配 未 分配利润 贷 年 利润
29,请问缴纳的房租到年底一次性计提全年的房租可以吗？该如何入账做分录？,请问 缴纳 房租 年底 一次性 计提 房租 入账 做 分录
30,会计做帐要准备什么帐薄之类的。谢谢，制造业的,会计 做 帐 帐 薄 谢谢 制造业
31,速达软件，财务费用利息收入不会在汇总表中体现，导致财务费用余额不对,速达 软件 财务费用 利息收入 汇总表 中 体现 导致 财务费用 余额
32,老师，公司招聘的临时工、兼职工需要签临时工协议吗？,老师 公司 招聘 临时工 兼 职工 签 临时工 协议
33,办公室租金费用入什么会计科目，具体到二级科目,办公室 租金 费用 入 会计科目 二级 科目
34,"老师，我财务报表上只有3个数据；货币资金1000，其他应付款20000，未分配利润为-19000,。请问资产处置损益明细表和负债清偿损益明细表怎么填",老师 财务报表 数据 货币资金 1000 应付款 20000 未 分配利润 19000 请问 资产 处置 损益 明细表 负债 清偿 损益 明细表 填
35,老师公司一直有两个人在交社保了其他业务没有了但是2016.11月份的税忘记申报了后来在12月份罚款了200社保银行流水上也没扣那12月份的帐要怎么做工资还要计提吗11月份没有社保扣掉那发工资的时候怎么算以前一直没有做账的现在想要改正确,老师 公司 两个 交 社保 业务 2016.11 月份 税 忘记 申报 12 月份 罚款 200 社保 银行 流水 没扣 12 月份 帐 做 工资 计提 11 月份 社保 扣掉 发工资 算 做账 想要 改 正确
36,老师，这个记2是指记账凭证2号凭证，那这个2241啊其他应付款代表什么？,老师 记 指 记账 凭证 号 凭证 2241 应付款 代表
37,老师您好，我想请问下，我们一家合伙企业的A股东把自己的股份转让给B股东溢价转让，请问这个要交个税不，是按照财产转让所得交税吗。个税是由谁代扣代缴,老师 您好 想 请问 一家 合伙 企业 A股 东 股份 转让 B股 东 溢价 转让 请问 要交个 税 财产 转让 所得 交税 个税 代扣代缴
38,老师公司车间采购消毒剂计入什么科目和二级科目呢？,老师 公司 车间 采购 消毒剂 计入 科目 二级 科目
39,老师，这道题看了答案之后，我发现，他的手续费并没有进当期损益，还有一个递延收益600我不明白；待处理财产损益还有个20也不明白,老师 这道题 答案 发现 手续费 进当期 损益 递延 收益 600 明白 待处理 财产 损益 20 明白
40,请问：建筑劳务公司的成本项是什么？谢谢！！,请问 建筑 劳务 公司 成本 项是 谢谢
41,你好！老师，我们筹建期，是一期，有安评费，环评费，技术服务费是1期和2期的，但2期不知道什么时候建，也有可能不建，我把这些费用放在管理费用——开办费，可以吗？,你好 老师 筹建 期 一期 有安 评费 环评 费 技术 服务费 期 期 期 建 不建 费用 放在 管理费用 开办费
42,员工开发票放错发票纸了，现在联系客人追回发票，客人说发票不见了，又要让我们再来一张给他，咋办小规模,员工 开发票 放错 发票 纸 客人 追回 发票 客人 说 发票 不见 一张 咋办 小规模
43,网银收到拉卡拉0.01元怎么做账？,网银 收到 拉 卡拉 0.01 元 做账
44,老板想好查厂家的单价，要求进货单归类一起放，我记账不能这样放，怎么办？老板说有时候想查厂家的进货价,老板 想 好查 厂家 单价 进货单 归类 放 记账 放 老板 说 有时候 想查 厂家 进货价
45,老师我想问一下，工装之类的劳保用品一般放在什么科目里呀,老师 想 问 工装 劳保用品 放在 科目 里
46,老师，软件开发普票税率是6%吗？,老师 软件开发 普票 税率 6%
47,那我要怎么办，作废上一张不行吗,作废 一张 不行
48,你好，公司的帐20017年8月之前税都是代账公司报，所得税4-6月代账公司报盈利2万多，交了几百元的税钱代账公司都没做账，我接回来之后，我做账我做了4-6月报表盈利了20万，这样要紧吗？但是账务做到9月后，为了少交所得税做了盈利3万多，7-9月是亏损的因为9月结转了所有的工程材料和劳务成本，4-6月盈利的有收入的是卖产品的收入，公司没有相应的成本票也没费用票来抵导致4-6月盈利20万，但是申报4-6月所得税才报盈利两万多点，我这样我有什么责任风险吗或则税务上有什么风险吗,你好 公司 帐 20017 年 月 税 代账 公司 报 所得税 月代账 公司 报 盈利 万多 交了 几百元 税 钱代账 公司 做账 接回来 做账 做 月 报表 盈利 20 万 要紧 账务 月 少交 所得税 做 盈利 万多 月 亏损 月 结转 工程 材料 劳务 成本 月 盈利 收入 卖 产品 收入 公司 成本 票 费用 票来 抵 导致 月 盈利 20 万 申报 月 所得税 报 盈利 两万多 点 责任 风险 税务 风险
49,老板以20万收购一家公司的60%股份，但是法人和公司名字不变，要税司及工商变更，那对公银行账户是怎么操作的，你有没有相关的转让协议或者合作协议样板呢,老板 20 万 收购 一家 公司 60% 股份 法人 公司 名字 税司 工商 变更 对公 银行 账户 操作 有没有 相关 转让 协议 合作 协议 样板
50,请问购买课件是多少钱？,请问 购买 课件 钱
51,老师，年底发双薪的话，是不是第13个月的工资单独计算？,老师 年底 发双薪 13 月 工资 单独 计算
52,老师我们是小规模纳税人，甲方提供材料，对我们有什么影响吗成本怎么核算,老师 小规模 纳税人 甲方 提供 材料 影响 成本 核算
53,老师，个体工商户个人所得税是一年一交还是每月都交的？那计算依据是什么呢？目前有两家门店，法人不一样，一个店是每个月都一样的个人所得税，一家店确实不用交。问税务局，说开票金额没有达到所以不交，我有些不懂，请老师跟我解释一下。,老师 个体 工商户 个人所得税 一年 一 交还 每月 交 计算 两家 门店 法人 店 月 个人所得税 一家 店 确实 不用 交 问 税务局 说 开票 金额 交 懂 请 老师 解释一下
54,老师，比如员工基本工资3000，奖金800，12月份发放双薪制，那么双薪的个税怎么计算？是不是3800/12确定税率为3%，然后3800*3%？,老师 员工 基本工资 3000 奖金 800 12 月份 发放 双薪制 双薪 税 计算 3800 12 税率 3% 3800 3%
55,老师，请问就是公司因为工作需要，需要合作方工作人员来我司所在地办公，然后我司为对方工作人员支付的住宿费是怎么做借方啊,老师 请问 公司 工作 合作方 工作人员 我司 所在地 办公 我司 工作人员 支付 住宿费 做 借方
56,老师，我想问一下就是现金会计需要做哪些工作内容,老师 想 问 现金会计 做 工作 内容
57,老师，我们公司开预收款发票，但是当月钱没收到，我怎么处理？,老师 公司 开 预收款 发票 当月 钱 没收
58,税控设备利技术维护费本期填了附表四，但附表一未填抵扣金额，怎么办,税控 设备 利 技术 维护费 本期 填 附表 附表 一未 填 抵扣 金额
59,老师，请问发票开错了，跨月的，冲红了，请问他们要将购方发票退给我们吗？,老师 请问 发票 开错 跨 月 冲红 请问 购方 发票 退
60,我可以月末按进销存的总收入和总成本一起做一笔分录到记账模块吗？,月末 进销存 总收入 总成本 做 一笔 分录 记账 模块
61,若是按3%税率计算，企业所得税应该是1213.59元，和5%差额为23.12元。其实我们是3%税率，小规模纳税人，发票开错了，但对方不退票。以上3%和5%税率差，这样情况我们要补增值税和所得税吗？若补缴税了，是不是就要把营业收入也按3%入账呀,3% 税率 计算 企业 所得税 1213.59 元 5% 差额 23.12 元 3% 税率 小规模 纳税人 发票 开错 退票 3% 5% 税率 差 情况 补 增值税 所得税 若补 缴税 营业 收入 3% 入账
62,采购财务软件，先支付了50%的款项，同时收到了50%款项金额的发票，是先把这50%的金额入账到无形资产吗？最后是等到支付完所有的合同金额，再摊销吗？,采购 财务软件 先 支付 50% 款项 收到 50% 款项 金额 发票 先 50% 金额 入账 无形资产 支付 完 合同 金额 摊销
63,请问老师这些数据是填12月份的金额还是填1-12月的累计金额？,请问 老师 数据 填 12 月份 金额 填 12 月 累计 金额
64,老师你好，我司小规模电力设计公司，设计服务费开票后，分录借:银行存款，贷主营业务收入，应交税金-增值税需要结转成本费用吗？如需要，怎么做会计分录,老师 你好 我司 小规模 电力 设计 公司 设计 服务费 开票 分录 银行存款 贷 主营业务 收入 应交 税金 增值税 结转 成本费用 做 会计分录
65,老师，我可不可以不按发票的吨数入库，可不可以按应收数，实收数来做,老师 可不可以 发票 吨数 入库 可不可以 应收 数 实收 数来 做
66,私立医院营业执照下来了，医院还在装修没开业需要申报税吗？报税需要密钥和报税盘吗,私立 医院 营业执照 医院 装修 开业 申报 税 报税 密钥 报税 盘
67,老师，小规模纳税人季度销售额没有超过9万元，但是之前销售商品时让税务机关代开过增值税专用发票，这种情况不是应该不用缴纳增值税的吗？为什么还要交税？,老师 小规模 纳税人 季度 销售额 超过 万元 销售 商品 时 税务机关 代开 增值税 专用发票 情况 不用 缴纳 增值税 为什么 交税
68,房产税怎么计算，有自有100万平，其中50万平自己用，50万平出租，，这个要怎么算呢？,房产税 计算 自有 100 万平 50 万平 50 万平 出租 算
69,老师好，看了答案之后，我发现，他的手续费并没有进当期损益，还有一个递延收益600我不明白；待处理财产损益还有个20也不明白；如果说是顾客拿20块钱零钱，为什么不计入营业外收入？,老师 答案 发现 手续费 进当期 损益 递延 收益 600 明白 待处理 财产 损益 20 明白 如果说 顾客 20 块钱 零钱 为什么 计入 营业 外 收入
70,老师，请问员工离职，补偿一个月工资5000元，这个要不要交什么税,老师 请问 员工 离职 补偿 一个月 工资 5000 元 交 税
71,老师好，公司在银行办法的金卡，收取的年费，怎么做账,老师 公司 银行 办法 金卡 收取 年费 做账
72,资本公积大于公司的注册资金的话，那用资本公积转增资本是不是前期认缴的股东就不用实缴了，直接用资本公积帮他们实缴了？,资本 公积 大于 公司 注册资金 那用 资本 公积 转增 资本 前期 认缴 股东 不用 实缴 资本 公积 帮 实缴
73,平价代采购，怎么写分录,平价 代 采购 写 分录
74,@宋老师:续之前企业所得税申报问题，刚才查看之前的申报表，发现2季度申报本期金额有误，导致出现这个差额，请问这样该怎样进行调整？,宋 老师 续 企业 所得税 申报 查看 申报表 发现 季度 申报 本期 金额 有误 导致 差额 请问 调整
75,老师，公司是做创意生态农场的，请问有这方面的核算课程吗？,老师 公司 做 创意 生态 农场 请问 这方面 核算 课程
76,老师请问一下那个建筑行业的税率怎么定的呀？是建筑行业一般纳税人的那种,老师 请问 建筑行业 税率 建筑行业 纳税人 那种
77,去年会计有一笔一千多块钱的增值税是属于小微企业免交的，但是她没有做账务处理导致我今年的账上一直挂着这笔增值税怎么处理？以前年度损益调整吗？,去年 会计 一笔 一千多块 钱 增值税 小微 企业 免交 做 账务 导致 账 挂 这笔 增值税 以前年度 损益 调整
78,老师，职业年金怎样入账,老师 职业 年 金 入账
79,老师我有一家公司经营了2年一直没外账就是之前的会计一直0申报那个增值税又乱申报一个数字我这个月把外账全部补齐了，账面满目苍夷不知道会不会有事,老师 一家 公司 经营 年 外账 会计 申报 增值税 乱 申报 数字 月 外账 补齐 账面 满目 苍夷 有事
80,老师，我公司是家俱生产企业，生产各种型号的木柜子，用的板材有几种，五金件，耗材等，这些材料成本要怎么分摊啊？,老师 公司 家俱 生产 企业 生产 型号 木 柜子 板材 几种 五金件 耗材 材料 成本 分摊
81,老师，请问发票开错了，购方做账了，不愿退回，跨月的，我们开了红字发票，请问票据怎么处理？,老师 请问 发票 开错 购方 做账 不愿 退回 跨 月 开 红字 发票 请问 票据
82,老师，2015年12月暂估入库应付xx公司100万，当时已经结转成本了。1、要怎么冲掉这笔暂估应付款？2、应付x公司我们现在那个月都有交易，每个月收到发票都有冲暂估的，但是因为每个月都有销项，收到这个x公司的发票之后冲了之前的100暂估应付，现在每个月又要暂估应付x公司，这样做对,老师 2015 年 12 月 暂估 入库 应付 xx 公司 100 万 结转 成本 冲掉 这笔 暂估 应付款 应付 x 公司 月 交易 月 收到 发票 暂估 月 销项 收到 x 公司 发票 100 暂估 应付 月 暂估 应付 x 公司 做
83,您好!老师，筹建期，所有的费用记在管理费用——开办费，那用不用设三级科目，把费用细化？,您好 老师 筹建 期 费用 记在 管理费用 开办费 那用 不用 设 三级 科目 费用 细化
84,邹老师你好我有一家公司经营了2年一直没外账就是之前的会计一直0申报那个增值税又乱申报一个数字我这个月把外账全部补齐了，账面满目苍夷不知道会不会有事,邹 老师 你好 一家 公司 经营 年 外账 会计 申报 增值税 乱 申报 数字 月 外账 补齐 账面 满目 苍夷 有事
85,老师，借：预收，贷：其他应付款，在现金流量表如何指定,老师 预收 贷 应付款 现金流量 表 指定
86,老师，请问发票开错了，购方做账了，不愿退回），跨月的，这笔业务存在，要给哪些票给购货方,老师 请问 发票 开错 购方 做账 不愿 退回 跨 月 这笔 业务 票 购货
87,老师，采购财务软件，先支付了50%的款项，同时收到了50%款项金额的发票，是先把这50%的金额入账到无形资产吗？最后是等到支付完所有的合同金额，再摊销吗？,老师 采购 财务软件 先 支付 50% 款项 收到 50% 款项 金额 发票 先 50% 金额 入账 无形资产 支付 完 合同 金额 摊销
88,今年会计从业是不是不用继续教育了？,会计 从业 不用 教育
89,同一天发生的不同类型经济业务能写到同一张记账凭证上面吗？,同一天 发生 类型 经济 业务 写 一张 记账 凭证
90,你好机关事业单位也需要缴纳残疾人保障金吗？,你好 机关 事业单位 缴纳 残疾人 保障金
91,老师请问公司给代理商们报销车费、住宿费等这些算在业务招待费对吗？还是有更好的科目？,老师 请问 公司 代理商 报销 车费 住宿费 算 业务 招待费 更好 科目
92,老师，海关专业缴款书显示的这个还用去税务局么,老师 海关 专业 缴款 书 显示 还用 税务局
93,请问老师我本季度的现金流量表的本期金额和上期数反映的是那个时期的数？,请问 老师 本季度 现金流量 表 本期 金额 期数 时期 数
94,企业从外地搬来固定资产有些已经超过10年，还提折旧吗？还有不到十年的,企业 外地 搬 固定资产 超过 10 年 提 折旧 不到 十年
95,凡是会计主体都是借方的这一方吗？,会计 主体 借方 一方
96,老师，股东实收资本未到位，能否办理注销？如果不能，有哪些风险？,老师 股东 实收 资本 未 到位 办理 注销 风险
97,老师我们用九月对公账付款买了东西但是对方开票开到了另一个公司（也属于我们内部公司）怎么办而且九月已经拿银行回单做账了,老师 九月 对公 账 付款 买 东西 开票 开到 公司 内部 公司 九月 银行 回单 做账
98,想请问下，年底发放双薪中的第13个月的工资具体金额单位可以自己决定的吗？比如给A5000，给B7000？（A平时月工资3000，B月工资5000），可以不按他们平时工资给予双薪的咯？,想 请问 年底 发放 双薪 中 13 月 工资 金额 单位 A5000 B7000 平时 月工资 3000 B 月工资 5000 平时 工资 给予 双薪 咯
99,我们是一家投资公司，我们要筹拍一部电影，跟一家甲方影视文化中心签订了这电影个项目，甲方负责所有项目的政策审查、政策指导、行政审批、监督监管、协助拍摄等工作，如发生相关费用，经乙方确认后由剧组承担。但是我们投资公司没有电影制作业务，委托另一家影视公司做（是我们自己的），我们现在的投资公司给甲方已经汇了二笔款了，这二笔款我是应该入成本吧？可以吗？,一家 投资 公司 筹拍 一部 电影 一家 甲方 影视文化 中心 签订 电影 项目 甲方 负责 项目 政策 审查 政策 指导 行政 审批 监督 监管 协助 拍摄 工作 发生 相关 费用 乙方 确认 剧组 承担 投资 公司 电影 制作 业务 委托 另一家 影视 公司 做 投资 公司 甲方 汇 二笔 款 二笔 款 入 成本
100,老师我想请问取得收入却未开票是否可以的，有规定是哪些收入可以不用开票的吗,老师 想 请问 收入 未 开票 收入 不用 开票
101,老师，我想问下2018年中级职称的报考条件，我是非会计专业的，09年毕业，就考了会计证，2013年拿到的初级职称证书，这种情况，可以报考2018年中级职称考试吗？,老师 我想 问下 2018 年 中级职称 报考 条件 是非 会计专业 09 年 毕业 考 会计证 2013 年 拿到 初级职称 证书 情况 报考 2018 年 中级职称 考试
102,@邹老师还是上次那个问题。,邹 老师 上次
103,@宋老师:借：库存商品-暂估入库，贷银行存款，然后发票来了再冲回做个正确的分录吗？如果还没等发票收到先卖出去而且开票了怎么处理？,宋 老师 库存商品 暂估 入库 贷 银行存款 发票 冲回 做个 正确 分录 发票 收到 先 卖出去 开票
104,汇兑损益每个月都不结转，可以留到年末一起结转吗？,汇兑 损益 月 结转 留 年末 结转
105,老师，你好，我想问下可以买什么中级的练习题和综合题来配合听课做呢,老师 你好 我想 问下 买 中级 练习题 综合题 配合 听课 做
106,上个月因为是领导个人打款给租房公司交的押金，做的借：其他应收款，贷：现金。后来租房公司把钱打给领导个人了，现在领导把钱打到我们公司账户了，怎样做会计分录。,上个月 领导 个人 打款 租房 公司 交 押金 做 应收款 贷 现金 租房 公司 钱 领导 个人 领导 钱 公司 账户 做 会计分录
107,给外包人员发的工资补贴怎么做账?,外包 人员 发 工资 补贴 做账
108,老师，个人给我们公户上转了50万算借款，现在我们要还给他52万，有2万是利息，2万的利息能从公户转吗？,老师 个人 公户 转 50 万算 借款 还给 52 万 万是 利息 万 利息 公户 转
109,你好老师，我们有一批买别人的旧机器，老板想入到外帐上，但是没发票怎么入到外帐上,你好 老师 一批 买 旧 机器 老板 想入 外帐 发票 入到 外帐
110,老师我的实收数量大于应收数量,老师 实收 数量 大于 应收 数量
111,单位收到一张水产品的通用机打发票，品名是水产品，金额是81000，请问该交多少税,单位 收到 一张 水产品 通用机 发票 品名 水产品 金额 81000 请问 该交 税
112,您好老师！我听熊超老师的课前面听了三节后面就听不了了，视频打不开？请问是什么原因。我是会计网的终身学员，,您好 老师 听 熊超 老师 课 听 三节 听 视频 打不开 请问 原因 会计网 终身 学员
113,开办医院的时候购买的病床，那些是入营业成本-周转材料还是直接入费用的,开办 医院 购买 病床 入 营业 成本 周转 材料 入 费用
114,我们公司给别的公司代开7800的发票，税点是5个点，怎么算呀？,公司 公司 代开 7800 发票 税点 个点 算
115,总公司小规模的升级为一般纳税人，但是分公司是非独立运营。会对分公司造成影响吗。分公司已经注册，但是没有去税务报道，报道的话是小规模吗,总公司 小规模 升级 纳税人 分公司 是非 独立 运营 分公司 影响 分公司 注册 税务 报道 报道 小规模
116,老师你好，购买的个人意外伤害保险能抵个税吗,老师 你好 购买 个人 意外 伤害 抵个 税
117,消防安装可以用开具石材的发票吗？,消防 安装 开具 石材 发票
118,不是我公司跟美团有合作吗然后有订单的话人家给我们返款是按扣除佣金后的金额返钱的那要怎么做账呢我们是直接按实际收款的做收入呢还是怎么做呢,公司 美团 合作 订单 返款 扣除 佣金 金额 返钱 做账 收款 做 收入 做
119,请问一下公司交房租1季度1交，下面3个时间点如何编凭证呢？1、银行预交房租，拿到银行回单时2、收到3个月房租发票时，3、房租按月计入管理费用时,请问 公司 交 房租 季度 交 时间 点 编 凭证 银行 预交 房租 拿到 银行 回单 时 收到 月 房租 发票 时 房租 月 计入 管理费用 时
120,把进销存的金额按供应商的总数记到记账模块会好一些，是吗？,进销存 金额 供应商 总数 记到 记账 模块 一些
121,老师，有个3550000（含税）的购买设备的发票，现在在筹建期，这个是进固定资产的！我应该怎么做账呢？借：固定资产3034188.03应交税费-应交增值税515811.97贷：银行存款3550000吗？然后摊销的时候只摊销不含税的固定资产吗？,老师 有个 3550000 含税 购买 设备 发票 筹建 期 进 固定资产 做账 固定资产 3034188.03 应交 税费 应交 增值税 515811.97 贷 银行存款 3550000 摊销 摊销 不含税 固定资产
122,老师，在银行购买理财产品赎回收到的收益放到哪个科目适合的,老师 银行 购买 理财产品 赎回 收到 收益 放到 科目 适合
123,老师好我们老板几个月前注册了一个公司没有去税务登记备案现在想注销公司怎么弄啊,老师 老板 几个 月 前 注册 公司 税务 登记 备案 想 注销 公司 怎么弄
124,老师，普票跨月了。作废用红冲吗？,老师 普票 跨 月 作废 用红冲
125,总公司在市区，如果在下面的县城开工是不是需要预交缴纳增值税，如果在县城开分公司已分公司的名义开票是不是就不用预交税款？,总公司 市区 县城 开工 预交 缴纳 增值税 县城 开 分公司 分公司 名义 开票 不用 预交 税款
126,老师公司买柴油清洗窗台使用的，计入我们科目及二级科目呢？,老师 公司 买 柴油 清洗 窗台 计入 科目 二级 科目
127,老师，请问公司给员工购买的意外商业保险取得的专用发票，进项税可以抵扣吗,老师 请问 公司 员工 购买 意外 商业保险 专用发票 进项 税 抵扣
128,老师，预收账款退回去要怎么做？,老师 预收 账款 退回去 做
129,结转汇兑损益是在软件期末调汇中进行吗，我看上一个会计设置的期初汇率是1，而且他从1月到9月就没有结转过汇兑损益，如果我想结转汇兑损益的话，期末汇率我该如何填写？,结转 汇兑 损益 软件 期末 调汇 中 会计 设置 期初 汇率 月 月 结 转过 汇兑 损益 想 结转 汇兑 损益 期末 汇率 我该 填写
130,老师现在专票的二维码没打完请问还能认证的起吗重庆的,老师 专票 二维码 完 请问 认证 重庆
131,想问一下出租通信设备给移动，联通等的，税率是多少，和课程内的汽车租赁业一样吗,想 问 出租 通信 设备 联通 税率 课程 汽车 租赁业
132,老师毛利等于利润吗？答疑姜老师撤回了一条消息快乐之神(3251147790)16:43:59餐饮类门店租金是属于运营成本吗？,老师 毛利 等于 利润 答疑 姜 老师 撤回 一条 消息 快乐 之神 3251147790 16 43 59 餐饮 类 门店 租金 运营 成本
133,老师，我们公司借了30000块给别的公司，算是其他应收款还是应收账款呢？,老师 公司 30000 块 公司 算是 应收款 应收 账款
134,老师，资本化开支都没有票，也不知道多少，怎么入无形资产？专利已经申请下来了,老师 资本化 开支 票 入 无形资产 专利 申请
135,老师，我们购进原材料的发票金额是2800，但是我们给对方帐上打了3000，剩下的200，以后我们还要买东西用，这200我怎么做账？写一下会计分录，谢谢,老师 购进 原材料 发票 金额 2800 帐 3000 剩下 200 买 东西 200 做账 写 会计分录 谢谢
136,老师现在维修费也是17的税率吗,老师 维修费 17 税率
137,厂房过户要缴纳哪些税,厂房 过户 缴纳 税
138,工地洗车机怎么做分录？,工地 洗车机 做 分录
139,老师，公司客户收发票，必须是客户当地税务局代开的发票，我公司业务人员在当地税务局代开发票，也交了税金了，这样的发票能否入账？怎么入账？,老师 公司 客户 收 发票 客户 税务局 代开 发票 公司 业务人员 税务局 代 开发票 交 税金 发票 入账 入账
140,老师，我们跟农名工签订的劳动合同，甲方应该填法人的名字还是公司的名字,老师 农名工 签订 劳动合同 甲方 填 法人 名字 公司 名字
141,在发票勾选平台查不到发票的信息，核对开票信息没有错，怎么回事呀,发票 勾选 平台 查不到 发票 信息 核对 开票 信息 错 怎么回事
142,公司替别的公司（没给钱）申报商标，钱（对公）已付，发票没到，怎么做分录呢,公司 公司 给钱 申报 商标 钱 对公 已付 发票 做 分录
143,刚成立的房地产公司初期不太忙，有哪些业务分录需要处理？,刚成立 房地产 公司 初期 不太忙 业务 分录
144,还有一个问题，公司收到员工的生育补贴，在她休产假期间是按照基本工资3000发给她的，现在报下来后是3370，中间的差额我们要补给她，这个如何做账呢？另外报个税的时候需要把这笔收入报在10月份吗,公司 收到 员工 生育 补贴 休 产假 期间 基本工资 3000 发给 报 3370 差额 补给 做账 报个 税 这笔 收入 报在 10 月份
145,老师你好！采购时没有向对方要发票，，而销售时客户要求我们开发票，现在产生只有收入，没有成本，所得税大幅度增加，现在补开发票回来冲账可以吗，如何调账，如何账务处理,老师 你好 采购 时 发票 销售 时 客户 开发票 收入 成本 所得税 大幅度 增加 补 开发票 回来 冲账 调账 账务
146,我们有一些面包过期或损坏的话是属于管理费用还是运营成本,一些 面包 过期 损坏 管理费用 运营 成本
